x;y;radius;error
1955;2036;1845;124.9726430773735
1951;2036;1846;150.71217266718546
1952;2040;1844;179.24000696341196
1955;2039;1847;152.72665758927664
1957;2035;1846;161.83412792285284
1952;2037;1841;172.4248917500178
1959;2038;1847;191.9337463180224
1959;2039;1846;197.04714832703272
1954;2039;1846;150.59625375270844
1951;2038;1843;172.32652062177658
1957;2039;1843;152.831200559934
1958;2033;1847;209.99598797162375
1959;2033;1843;222.8061348001162
1952;2036;1846;137.03128403425217
1952;2040;1841;189.5199869275093
1952;2033;1843;180.51623928546906
1952;2036;1844;147.43387027581534
1954;2041;1849;190.47315269708633
1958;2037;1848;167.82369844118753
1959;2033;1848;227.52870108683905
1954;2038;1849;148.91606529553732
1957;2036;1849;153.19467767079672
1952;2040;1842;183.85074561834335
1953;2035;1841;163.11368145545325
1953;2040;1847;175.18485766649246
1951;2039;1844;175.927365899086
1956;2039;1847;156.09493947029114
1957;2034;1845;178.79455997546515
1955;2038;1844;125.68580873807271
1952;2035;1847;144.44245002667108
1959;2039;1845;194.39728303750357
1957;2040;1844;172.86760356028876
1955;2041;1847;184.86163951953253
1959;2035;1842;201.48203879594803
1959;2034;1844;211.83300185203552
1951;2039;1843;180.59623450040817
1951;2037;1848;154.09870286782584
1957;2041;1841;188.9988393187523
1957;2033;1848;195.50066779057184
1957;2033;1842;191.3041647275289
1959;2037;1842;185.8120648264885
1956;2033;1841;178.91572894652685
1956;2041;1849;189.20735492308935
1954;2037;1845;121.03616358836491
1954;2041;1844;184.99866875012717
1952;2040;1845;179.52182145913443
1951;2034;1842;183.50942597786585
1955;2037;1849;133.4672534863154
1959;2039;1849;206.94507428010306
1955;2039;1848;157.0387207865715
1959;2038;1849;199.51934937636057
1954;2034;1849;153.01492822170258
1958;2040;1847;192.23964895804724
1957;2035;1847;161.7580587863922
1953;2037;1842;148.83917834361395
1955;2041;1841;181.36861556768417
1956;2040;1841;162.08909451961517
1951;2033;1842;190.76254200935364
1954;2038;1848;142.54162991046906
1959;2036;1847;190.97051562865576
1958;2037;1845;160.1657504439354
1959;2041;1845;215.34120762348175
1955;2037;1841;137.16516107320786
1956;2040;1844;165.5836864709854
1952;2038;1848;156.6638548374176
1955;2035;1845;140.95457210143408
1955;2038;1846;130.2714549700419
1953;2038;1841;159.55645338694254
1953;2033;1842;176.08009034395218
1951;2037;1849;158.1860370238622
1958;2039;1845;174.84913084904352
1951;2038;1844;165.26699445645013
1959;2037;1849;194.0838424563408
1957;2037;1845;137.83064035574594
1958;2038;1842;161.19718118508658
1959;2036;1841;194.30824319521585
1957;2033;1845;194.09425099690756
1952;2035;1844;155.5047592918078
1959;2038;1842;184.16385179758072
1951;2034;1843;179.7849776148796
1953;2041;1841;191.8657805522283
1952;2036;1849;142.82829048236212
1959;2038;1843;184.00328252712885
1951;2040;1846;191.61296914021173
1951;2036;1849;151.74871989091238
1952;2039;1847;167.42864765723547
1956;2041;1847;186.41138277451196
1954;2036;1846;122.32726067304611
1953;2040;1848;178.33107191324234
1952;2038;1842;164.89099164803824
1952;2041;1845;197.00046678384146
1952;2038;1844;149.85392594337463
1957;2041;1842;189.02050590515137
1958;2036;1846;167.55392893155417
1956;2037;1846;124.05793776114781
1952;2037;1847;139.47915816307068
1951;2038;1841;191.69184825817743
1954;2034;1844;158.2022094130516
1959;2040;1844;202.8715814948082
1957;2033;1843;192.39744714895883
1953;2038;1845;137.2081841826439
1954;2039;1847;154.03613835573196
1959;2034;1847;213.29268143574396
1956;2037;1845;122.8338947892189
1957;2033;1844;193.33416042725244
1957;2033;1849;196.2562748392423
1951;2033;1849;186.22302760680518
1956;2036;1842;141.19072914123535
1954;2034;1841;163.37984216213226
1955;2040;1845;165.59805955489477
1954;2035;1847;133.88022011518478
1952;2035;1843;160.9581177632014
1957;2040;1842;170.36578579743704
1957;2041;1843;189.26169606049856
1959;2040;1846;206.36678693691888
1953;2040;1841;177.0478764573733
